ChairType,Name,Affiliation,Location,Email
General Chairs,Dhruva Ghai, Oriental University, India,
General Chairs,Xin Li, Carnegie Mellon University, USA,
General Chairs,Prasun Ghosal, IIEST, India,
Program Chairs,Sudeep Pasricha, Colorado State University,USA,
Program Chairs,Anirban Sengupta, IIT Indore, India,
Program Chairs,Jawar Singh, IIITDM, India,
Publication Chairs,Karthikeyan Lingasubramanian, University of Alabama at Birmingham, USA,
Publication Chairs,Shubhajit Roy Chowdhury, IIT Mandi, India,
Web Chair,Mike Borowczak,University of Wyoming, USA,mike.borowczak@uwyo.edu
Publicity Chairs,Volkan Kursun, HKUST, Hong Kong,
Publicity Chairs,Alak Majumdar, NIT Arunachal Pradesh, India,
Publicity Chairs,Gargi Khanna, NIT Hamirpur, India,
Publicity Chairs,Tripta Thakur, MANIT, India,
Publicity Chairs,Umar Albalawi, University of Tabuk, Saudi Arabia,
Publicity Chairs,Saumya Kanti Datta, Eurecom, France,
Local Arrangement Chairs,Deepika Masand, OIST, India,
Local Arrangement Chairs,Taruna Jain, Barkatullah UIT, India,
Local Arrangement Chairs,Deepak Verma, MANIT, India,
Special Session Chairs,Himanshu Thapliyal, University of Kentucky, USA,
Special Session Chairs,Hai (Helen) Li, Duke University, USA,
Student Research Forum Chairs,Kavita Burse, OIST, India,
Student Research Forum Chairs,Naveen Kumar Agrawal, OCT, India,
Finance Chairs,Garima Ghai, Oriental University, India,
Finance Chairs,Sunil Singh, OIST, India,
Registration Chairs,Brajesh K Kaushik, IIT Roorkee, India,
Registration Chairs,Rahul Dubey, OIST, India,
Registration Chairs,Bhoopendra Singh, RGPV, India,
Industry Liaison Chairs,Santosh K. Vishvakarma, IIT Indore, India,
Industry Liaison Chairs,Nagi Naganathan, Avago Technologies, USA,
Industry Liaison Chairs,Dheeraj Agarwal, MANIT, India,
Steering Committee Chairs,Saraju P. Mohanty, University of North Texas, USA,
